line	simulationNumber	sizerConcentrationNum	cellSizerCycle	eta_trans	cell_diff_ratio	CG_diff_ratio	desc_prop
1	1	0	1	0.5	1	1	0.5
2	2	0	1	0.5	1	1	0.5
3	3	0	1	0.5	1	1	0.5
4	4	0	1	0.5	1	1	0.5
5	5	0	1	0.5	1	1	0.5
6	6	0	1	0.5	1	1	0.5
7	7	0	1	0.5	1	1	0.5
8	8	0	1	0.5	1	1	0.5
9	9	0	1	0.5	1	1	0.5
10	10	0	1	0.5	1	1	0.5
11	11	0	1	0.5	1	1	0.5
12	12	0	1	0.5	1	1	0.5
13	13	0	1	0.5	1	1	0.5
14	14	0	1	0.5	1	1	0.5
15	15	0	1	0.5	1	1	0.5
16	16	0	1	0.5	1	1	0.5
17	17	0	1	0.5	1	1	0.5
18	18	0	1	0.5	1	1	0.5
19	19	0	1	0.5	1	1	0.5
20	20	0	1	0.5	1	1	0.5
21	21	0	1	0.5	1	1	0.5
22	22	0	1	0.5	1	1	0.5
23	23	0	1	0.5	1	1	0.5
24	24	0	1	0.5	1	1	0.5
25	25	0	1	0.5	1	1	0.5
26	26	0	1	0.5	1	1	0.5
27	27	0	1	0.5	1	1	0.5
28	28	0	1	0.5	1	1	0.5
29	29	0	1	0.5	1	1	0.5
30	30	0	1	0.5	1	1	0.5
31	31	0	1	0.5	1	1	0.5
32	32	0	1	0.5	1	1	0.5
33	33	0	1	0.5	1	1	0.5
34	34	0	1	0.5	1	1	0.5
35	35	0	1	0.5	1	1	0.5
36	36	0	1	0.5	1	1	0.5
37	37	0	1	0.5	1	1	0.5
38	38	0	1	0.5	1	1	0.5
39	39	0	1	0.5	1	1	0.5
40	40	0	1	0.5	1	1	0.5
41	41	0	1	0.5	1	1	0.5
42	42	0	1	0.5	1	1	0.5
43	43	0	1	0.5	1	1	0.5
44	44	0	1	0.5	1	1	0.5
45	45	0	1	0.5	1	1	0.5
46	46	0	1	0.5	1	1	0.5
47	47	0	1	0.5	1	1	0.5
48	48	0	1	0.5	1	1	0.5
49	49	0	1	0.5	1	1	0.2
50	50	0	1	0.5	1	1	0.2
51	1	0	1	0.5	1	1	0.2
52	2	0	1	0.5	1	1	0.2
53	3	0	1	0.5	1	1	0.2
54	4	0	1	0.5	1	1	0.2
55	5	0	1	0.5	1	1	0.2
56	6	0	1	0.5	1	1	0.2
57	7	0	1	0.5	1	1	0.2
58	8	0	1	0.5	1	1	0.2
59	9	0	1	0.5	1	1	0.2
60	10	0	1	0.5	1	1	0.2
61	11	0	1	0.5	1	1	0.2
62	12	0	1	0.5	1	1	0.2
63	13	0	1	0.5	1	1	0.2
64	14	0	1	0.5	1	1	0.2
65	15	0	1	0.5	1	1	0.2
66	16	0	1	0.5	1	1	0.2
67	17	0	1	0.5	1	1	0.2
68	18	0	1	0.5	1	1	0.2
69	19	0	1	0.5	1	1	0.2
70	20	0	1	0.5	1	1	0.2
71	21	0	1	0.5	1	1	0.2
72	22	0	1	0.5	1	1	0.2
73	23	0	1	0.5	1	1	0.2
74	24	0	1	0.5	1	1	0.2
75	25	0	1	0.5	1	1	0.2
76	26	0	1	0.5	1	1	0.2
77	27	0	1	0.5	1	1	0.2
78	28	0	1	0.5	1	1	0.2
79	29	0	1	0.5	1	1	0.2
80	30	0	1	0.5	1	1	0.2
81	31	0	1	0.5	1	1	0.2
82	32	0	1	0.5	1	1	0.2
83	33	0	1	0.5	1	1	0.2
84	34	0	1	0.5	1	1	0.2
85	35	0	1	0.5	1	1	0.2
86	36	0	1	0.5	1	1	0.2
87	37	0	1	0.5	1	1	0.2
88	38	0	1	0.5	1	1	0.2
