line	simulationNumber	sizerConcentrationNum	cellSizerCycle	eta_trans	cell_diff_ratio	CG_diff_ratio	desc_prop
1	1	1	1	0.5	1	1	0.5
2	2	1	1	0.5	1	1	0.5
3	3	1	1	0.5	1	1	0.5
4	4	1	1	0.5	1	1	0.5
5	5	1	1	0.5	1	1	0.5
6	6	1	1	0.5	1	1	0.5
7	7	1	1	0.5	1	1	0.5
8	8	1	1	0.5	1	1	0.5
9	9	1	1	0.5	1	1	0.5
10	10	1	1	0.5	1	1	0.5
11	11	1	1	0.5	1	1	0.5
12	12	1	1	0.5	1	1	0.5
13	13	1	1	0.5	1	1	0.5
14	14	1	1	0.5	1	1	0.5
15	15	1	1	0.5	1	1	0.5
16	16	1	1	0.5	1	1	0.5
17	17	1	1	0.5	1	1	0.5
18	18	1	1	0.5	1	1	0.5
19	19	1	1	0.5	1	1	0.5
20	20	1	1	0.5	1	1	0.5
21	21	1	1	0.5	1	1	0.5
22	22	1	1	0.5	1	1	0.5
23	23	1	1	0.5	1	1	0.5
24	24	1	1	0.5	1	1	0.5
25	25	1	1	0.5	1	1	0.5
26	26	1	1	0.5	1	1	0.5
27	27	1	1	0.5	1	1	0.5
28	28	1	1	0.5	1	1	0.5
29	29	1	1	0.5	1	1	0.5
30	30	1	1	0.5	1	1	0.5
31	31	1	1	0.5	1	1	0.5
32	32	1	1	0.5	1	1	0.5
33	33	1	1	0.5	1	1	0.5
34	34	1	1	0.5	1	1	0.5
35	35	1	1	0.5	1	1	0.5
36	36	1	1	0.5	1	1	0.5
37	37	1	1	0.5	1	1	0.5
38	38	1	1	0.5	1	1	0.5
39	39	1	1	0.5	1	1	0.5
40	40	1	1	0.5	1	1	0.5
41	41	1	1	0.5	1	1	0.5
42	42	1	1	0.5	1	1	0.5
43	43	1	1	0.5	1	1	0.5
44	44	1	1	0.5	1	1	0.5
45	45	1	1	0.5	1	1	0.5
46	46	1	1	0.5	1	1	0.5
47	47	1	1	0.5	1	1	0.5
48	48	1	1	0.5	1	1	0.5
49	49	1	1	0.5	1	1	0.5
50	50	1	1	0.5	1	1	0.5
51	1	0	0	0.5	1	1	0.5
52	2	0	0	0.5	1	1	0.5
53	3	0	0	0.5	1	1	0.5
54	4	0	0	0.5	1	1	0.5
55	5	0	0	0.5	1	1	0.5
56	6	0	0	0.5	1	1	0.5
57	7	0	0	0.5	1	1	0.5
58	8	0	0	0.5	1	1	0.5
59	9	0	0	0.5	1	1	0.5
60	10	0	0	0.5	1	1	0.5
61	11	0	0	0.5	1	1	0.5
62	12	0	0	0.5	1	1	0.5
63	13	0	0	0.5	1	1	0.5
64	14	0	0	0.5	1	1	0.5
65	15	0	0	0.5	1	1	0.5
66	16	0	0	0.5	1	1	0.5
67	17	0	0	0.5	1	1	0.5
68	18	0	0	0.5	1	1	0.5
69	19	0	0	0.5	1	1	0.5
70	20	0	0	0.5	1	1	0.5
71	21	0	0	0.5	1	1	0.5
72	22	0	0	0.5	1	1	0.5
73	23	0	0	0.5	1	1	0.5
74	24	0	0	0.5	1	1	0.5
75	25	0	0	0.5	1	1	0.5
76	26	0	0	0.5	1	1	0.5
77	27	0	0	0.5	1	1	0.5
78	28	0	0	0.5	1	1	0.5
79	29	0	0	0.5	1	1	0.5
80	30	0	0	0.5	1	1	0.5
81	31	0	0	0.5	1	1	0.5
82	32	0	0	0.5	1	1	0.5
83	33	0	0	0.5	1	1	0.5
84	34	0	0	0.5	1	1	0.5
85	35	0	0	0.5	1	1	0.5
86	36	0	0	0.5	1	1	0.5
87	37	0	0	0.5	1	1	0.5
88	38	0	0	0.5	1	1	0.5
89	39	0	0	0.5	1	1	0.5
90	40	0	0	0.5	1	1	0.5
91	41	0	0	0.5	1	1	0.5
92	42	0	0	0.5	1	1	0.5
93	43	0	0	0.5	1	1	0.5
94	44	0	0	0.5	1	1	0.5
95	45	0	0	0.5	1	1	0.5
96	46	0	0	0.5	1	1	0.5
97	47	0	0	0.5	1	1	0.5
98	48	0	0	0.5	1	1	0.5
99	49	0	0	0.5	1	1	0.5
100	50	0	0	0.5	1	1	0.5
101	1	0	1	0.5	1	1	0.5
102	2	0	1	0.5	1	1	0.5
103	3	0	1	0.5	1	1	0.5
104	4	0	1	0.5	1	1	0.5
105	5	0	1	0.5	1	1	0.5
106	6	0	1	0.5	1	1	0.5
107	7	0	1	0.5	1	1	0.5
108	8	0	1	0.5	1	1	0.5
109	9	0	1	0.5	1	1	0.5
110	10	0	1	0.5	1	1	0.5
111	11	0	1	0.5	1	1	0.5
112	12	0	1	0.5	1	1	0.5
113	13	0	1	0.5	1	1	0.5
114	14	0	1	0.5	1	1	0.5
115	15	0	1	0.5	1	1	0.5
116	16	0	1	0.5	1	1	0.5
117	17	0	1	0.5	1	1	0.5
118	18	0	1	0.5	1	1	0.5
119	19	0	1	0.5	1	1	0.5
120	20	0	1	0.5	1	1	0.5
121	21	0	1	0.5	1	1	0.5
122	22	0	1	0.5	1	1	0.5
123	23	0	1	0.5	1	1	0.5
124	24	0	1	0.5	1	1	0.5
125	25	0	1	0.5	1	1	0.5
126	26	0	1	0.5	1	1	0.5
127	27	0	1	0.5	1	1	0.5
128	28	0	1	0.5	1	1	0.5
129	29	0	1	0.5	1	1	0.5
130	30	0	1	0.5	1	1	0.5
131	31	0	1	0.5	1	1	0.5
132	32	0	1	0.5	1	1	0.5
133	33	0	1	0.5	1	1	0.5
134	34	0	1	0.5	1	1	0.5
135	35	0	1	0.5	1	1	0.5
136	36	0	1	0.5	1	1	0.5
137	37	0	1	0.5	1	1	0.5
138	38	0	1	0.5	1	1	0.5
139	39	0	1	0.5	1	1	0.5
140	40	0	1	0.5	1	1	0.5
141	41	0	1	0.5	1	1	0.5
142	42	0	1	0.5	1	1	0.5
143	43	0	1	0.5	1	1	0.5
144	44	0	1	0.5	1	1	0.5
145	45	0	1	0.5	1	1	0.5
146	46	0	1	0.5	1	1	0.5
147	47	0	1	0.5	1	1	0.5
148	48	0	1	0.5	1	1	0.5
149	49	0	1	0.5	1	1	0.5
150	50	0	1	0.5	1	1	0.5
151	1	1	1	0.2	1	1	0.5
152	2	1	1	0.2	1	1	0.5
153	3	1	1	0.2	1	1	0.5
154	4	1	1	0.2	1	1	0.5
155	5	1	1	0.2	1	1	0.5
156	6	1	1	0.2	1	1	0.5
157	7	1	1	0.2	1	1	0.5
158	8	1	1	0.2	1	1	0.5
159	9	1	1	0.2	1	1	0.5
160	10	1	1	0.2	1	1	0.5
161	11	1	1	0.2	1	1	0.5
162	12	1	1	0.2	1	1	0.5
163	13	1	1	0.2	1	1	0.5
164	14	1	1	0.2	1	1	0.5
165	15	1	1	0.2	1	1	0.5
166	16	1	1	0.2	1	1	0.5
167	17	1	1	0.2	1	1	0.5
168	18	1	1	0.2	1	1	0.5
169	19	1	1	0.2	1	1	0.5
170	20	1	1	0.2	1	1	0.5
171	21	1	1	0.2	1	1	0.5
172	22	1	1	0.2	1	1	0.5
173	23	1	1	0.2	1	1	0.5
174	24	1	1	0.2	1	1	0.5
175	25	1	1	0.2	1	1	0.5
176	26	1	1	0.2	1	1	0.5
177	27	1	1	0.2	1	1	0.5
178	28	1	1	0.2	1	1	0.5
179	29	1	1	0.2	1	1	0.5
180	30	1	1	0.2	1	1	0.5
181	31	1	1	0.2	1	1	0.5
182	32	1	1	0.2	1	1	0.5
183	33	1	1	0.2	1	1	0.5
184	34	1	1	0.2	1	1	0.5
185	35	1	1	0.2	1	1	0.5
186	36	1	1	0.2	1	1	0.5
187	37	1	1	0.2	1	1	0.5
188	38	1	1	0.2	1	1	0.5
189	39	1	1	0.2	1	1	0.5
190	40	1	1	0.2	1	1	0.5
191	41	1	1	0.2	1	1	0.5
192	42	1	1	0.2	1	1	0.5
193	43	1	1	0.2	1	1	0.5
194	44	1	1	0.2	1	1	0.5
195	45	1	1	0.2	1	1	0.5
196	46	1	1	0.2	1	1	0.5
197	47	1	1	0.2	1	1	0.5
198	48	1	1	0.2	1	1	0.5
199	49	1	1	0.2	1	1	0.5
200	50	1	1	0.2	1	1	0.5
201	1	1	1	0.5	100	1	0.5
202	2	1	1	0.5	100	1	0.5
203	3	1	1	0.5	100	1	0.5
204	4	1	1	0.5	100	1	0.5
205	5	1	1	0.5	100	1	0.5
206	6	1	1	0.5	100	1	0.5
207	7	1	1	0.5	100	1	0.5
208	8	1	1	0.5	100	1	0.5
209	9	1	1	0.5	100	1	0.5
210	10	1	1	0.5	100	1	0.5
211	11	1	1	0.5	100	1	0.5
212	12	1	1	0.5	100	1	0.5
213	13	1	1	0.5	100	1	0.5
214	14	1	1	0.5	100	1	0.5
215	15	1	1	0.5	100	1	0.5
216	16	1	1	0.5	100	1	0.5
217	17	1	1	0.5	100	1	0.5
218	18	1	1	0.5	100	1	0.5
219	19	1	1	0.5	100	1	0.5
220	20	1	1	0.5	100	1	0.5
221	21	1	1	0.5	100	1	0.5
222	22	1	1	0.5	100	1	0.5
223	23	1	1	0.5	100	1	0.5
224	24	1	1	0.5	100	1	0.5
225	25	1	1	0.5	100	1	0.5
226	26	1	1	0.5	100	1	0.5
227	27	1	1	0.5	100	1	0.5
228	28	1	1	0.5	100	1	0.5
229	29	1	1	0.5	100	1	0.5
230	30	1	1	0.5	100	1	0.5
231	31	1	1	0.5	100	1	0.5
232	32	1	1	0.5	100	1	0.5
233	33	1	1	0.5	100	1	0.5
234	34	1	1	0.5	100	1	0.5
235	35	1	1	0.5	100	1	0.5
236	36	1	1	0.5	100	1	0.5
237	37	1	1	0.5	100	1	0.5
238	38	1	1	0.5	100	1	0.5
239	39	1	1	0.5	100	1	0.5
240	40	1	1	0.5	100	1	0.5
241	41	1	1	0.5	100	1	0.5
242	42	1	1	0.5	100	1	0.5
243	43	1	1	0.5	100	1	0.5
244	44	1	1	0.5	100	1	0.5
245	45	1	1	0.5	100	1	0.5
246	46	1	1	0.5	100	1	0.5
247	47	1	1	0.5	100	1	0.5
248	48	1	1	0.5	100	1	0.5
249	49	1	1	0.5	100	1	0.5
250	50	1	1	0.5	100	1	0.5
251	1	1	1	0.5	1	10	0.5
252	2	1	1	0.5	1	10	0.5
253	3	1	1	0.5	1	10	0.5
254	4	1	1	0.5	1	10	0.5
255	5	1	1	0.5	1	10	0.5
256	6	1	1	0.5	1	10	0.5
257	7	1	1	0.5	1	10	0.5
258	8	1	1	0.5	1	10	0.5
259	9	1	1	0.5	1	10	0.5
260	10	1	1	0.5	1	10	0.5
261	11	1	1	0.5	1	10	0.5
262	12	1	1	0.5	1	10	0.5
263	13	1	1	0.5	1	10	0.5
264	14	1	1	0.5	1	10	0.5
265	15	1	1	0.5	1	10	0.5
266	16	1	1	0.5	1	10	0.5
267	17	1	1	0.5	1	10	0.5
268	18	1	1	0.5	1	10	0.5
269	19	1	1	0.5	1	10	0.5
270	20	1	1	0.5	1	10	0.5
271	21	1	1	0.5	1	10	0.5
272	22	1	1	0.5	1	10	0.5
273	23	1	1	0.5	1	10	0.5
274	24	1	1	0.5	1	10	0.5
275	25	1	1	0.5	1	10	0.5
276	26	1	1	0.5	1	10	0.5
277	27	1	1	0.5	1	10	0.5
278	28	1	1	0.5	1	10	0.5
279	29	1	1	0.5	1	10	0.5
280	30	1	1	0.5	1	10	0.5
281	31	1	1	0.5	1	10	0.5
282	32	1	1	0.5	1	10	0.5
283	33	1	1	0.5	1	10	0.5
284	34	1	1	0.5	1	10	0.5
285	35	1	1	0.5	1	10	0.5
286	36	1	1	0.5	1	10	0.5
287	37	1	1	0.5	1	10	0.5
288	38	1	1	0.5	1	10	0.5
289	39	1	1	0.5	1	10	0.5
290	40	1	1	0.5	1	10	0.5
291	41	1	1	0.5	1	10	0.5
292	42	1	1	0.5	1	10	0.5
293	43	1	1	0.5	1	10	0.5
294	44	1	1	0.5	1	10	0.5
295	45	1	1	0.5	1	10	0.5
296	46	1	1	0.5	1	10	0.5
297	47	1	1	0.5	1	10	0.5
298	48	1	1	0.5	1	10	0.5
299	49	1	1	0.5	1	10	0.5
300	50	1	1	0.5	1	10	0.5
301	1	1	1	0.5	1	1	0.2
302	2	1	1	0.5	1	1	0.2
303	3	1	1	0.5	1	1	0.2
304	4	1	1	0.5	1	1	0.2
305	5	1	1	0.5	1	1	0.2
306	6	1	1	0.5	1	1	0.2
307	7	1	1	0.5	1	1	0.2
308	8	1	1	0.5	1	1	0.2
309	9	1	1	0.5	1	1	0.2
310	10	1	1	0.5	1	1	0.2
311	11	1	1	0.5	1	1	0.2
312	12	1	1	0.5	1	1	0.2
313	13	1	1	0.5	1	1	0.2
314	14	1	1	0.5	1	1	0.2
315	15	1	1	0.5	1	1	0.2
316	16	1	1	0.5	1	1	0.2
317	17	1	1	0.5	1	1	0.2
318	18	1	1	0.5	1	1	0.2
319	19	1	1	0.5	1	1	0.2
320	20	1	1	0.5	1	1	0.2
321	21	1	1	0.5	1	1	0.2
322	22	1	1	0.5	1	1	0.2
323	23	1	1	0.5	1	1	0.2
324	24	1	1	0.5	1	1	0.2
325	25	1	1	0.5	1	1	0.2
326	26	1	1	0.5	1	1	0.2
327	27	1	1	0.5	1	1	0.2
328	28	1	1	0.5	1	1	0.2
329	29	1	1	0.5	1	1	0.2
330	30	1	1	0.5	1	1	0.2
331	31	1	1	0.5	1	1	0.2
332	32	1	1	0.5	1	1	0.2
333	33	1	1	0.5	1	1	0.2
334	34	1	1	0.5	1	1	0.2
335	35	1	1	0.5	1	1	0.2
336	36	1	1	0.5	1	1	0.2
337	37	1	1	0.5	1	1	0.2
338	38	1	1	0.5	1	1	0.2
339	39	1	1	0.5	1	1	0.2
340	40	1	1	0.5	1	1	0.2
341	41	1	1	0.5	1	1	0.2
342	42	1	1	0.5	1	1	0.2
343	43	1	1	0.5	1	1	0.2
344	44	1	1	0.5	1	1	0.2
345	45	1	1	0.5	1	1	0.2
346	46	1	1	0.5	1	1	0.2
347	47	1	1	0.5	1	1	0.2
348	48	1	1	0.5	1	1	0.2
349	49	1	1	0.5	1	1	0.2
350	50	1	1	0.5	1	1	0.2
